Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Slew Rate Control
1,PC20,,Available,In,,,,,,,
2,PC21,,Available,In,,,,,,,
3,PC22,SCRL_DOWN_BTN,GPIO,In,n/a,No,Falling Edge,Yes,No,Glitch Filter,0x0
4,PD0,,Available,In,,,,,,,
5,PA8,DLMS_UTX,FLEXCOM1_IO0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
6,PA9,DLMS_URX,FLEXCOM1_IO1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
7,PD3,,Available,In,,,,,,,
8,PD4,,Available,In,,,,,,,
9,PD5,,Available,In,,,,,,,
10,PD6,,Available,In,,,,,,,
11,PD7,,Available,In,,,,,,,
12,PD8,,Available,In,,,,,,,
13,PD9,,Available,In,,,,,,,
14,PD10,,Available,In,,,,,,,
15,PD11,,Available,In,,,,,,,
16,PA0,,Available,In,,,,,,,
17,PA1,,Available,In,,,,,,,
18,PD14,,Available,In,,,,,,,
19,PD15,,Available,In,,,,,,,
20,PD16,,Available,In,,,,,,,
22,PD17,,Available,In,,,,,,,
23,PD18,,Available,In,,,,,,,
24,PD19,,Available,In,,,,,,,
25,PA10,,Available,In,,,,,,,
26,PA11,,Available,In,,,,,,,
27,PA2,,Available,In,,,,,,,
28,PA3,,Available,In,,,,,,,
29,PA4,DBG_UART_TX,FLEXCOM0_IO0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
30,PA5,DBG_UART_RX,FLEXCOM0_IO1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
31,PA6,,Available,In,,,,,,,
32,PA7,,Available,In,,,,,,,
33,PA16,,Available,In,,,,,,,
34,PA17,,Available,In,,,,,,,
35,PA18,,Available,In,,,,,,,
36,PA19,,Available,In,,,,,,,
37,PA12,,Available,In,,,,,,,
38,PA13,,Available,In,,,,,,,
39,PA14,,Available,In,,,,,,,
40,PA15,,Available,In,,,,,,,
42,PD1,,Available,In,,,,,,,
43,PD2,,Available,In,,,,,,,
44,PD12,,Available,In,,,,,,,
45,PD13,,Available,In,,,,,,,
46,PA20,,Available,In,,,,,,,
63,PA21,LCD_COM1,SLCDC_COM0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
64,PA22,LCD_COM2,SLCDC_COM1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
65,PA23,LCD_COM3,SLCDC_COM2,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
66,PA24,LCD_COM4,SLCDC_COM3,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
67,PA25,LCD_COM5,SLCDC_COM4,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
